instance_id,repo,shard,sample_index,temperature,temperature_run_index,seed,collection_status,patch_present,patch_chars,trajectory_messages,model_api_calls,prompt_tokens,completion_tokens,total_tokens,evaluation_status,resolved,trajectory_path,raw_trajectory_path,evaluation_report_path
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z,swesmith/HIPS__autograd.ac044f0d,shard-4,0,0.0,0,2020623734,completed,True,8151,60,29,304028,3453,307481,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw,swesmith/HIPS__autograd.ac044f0d,shard-6,0,0.0,0,965840817,completed,True,27516,86,42,522107,9404,531511,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453,swesmith/HIPS__autograd.ac044f0d,shard-4,0,0.0,0,1692773266,completed,True,19696,142,70,1710798,12819,1723617,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1919280333,completed,True,23835,210,104,3064492,24605,3089097,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1281245258,completed,True,8060,50,24,291253,2865,294118,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,1323799893,completed,True,11301,30,14,59412,2472,61884,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,533663924,completed,True,7769,44,21,213398,2102,215500,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,702311424,completed,True,19320,102,50,821178,8270,829448,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,1433930321,completed,True,8084,36,17,149920,2297,152217,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,368576893,completed,True,11713,44,21,158168,3064,161232,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/report.json
