instance_id,repo,shard,sample_index,temperature,temperature_run_index,seed,collection_status,patch_present,patch_chars,trajectory_messages,model_api_calls,prompt_tokens,completion_tokens,total_tokens,evaluation_status,resolved,trajectory_path,raw_trajectory_path,evaluation_report_path
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo,swesmith/HIPS__autograd.ac044f0d,shard-6,0,0.0,0,1776267612,completed,True,7508,46,22,214326,2882,217208,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,555909346,model_terminated,False,0,84,41,621324,5804,627128,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc.traj.json,
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,388099080,completed,True,8488,50,24,165425,4346,169771,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh,swesmith/HIPS__autograd.ac044f0d,shard-0,0,0.0,0,1617240292,completed,True,14168,40,19,126542,4737,131279,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/report.json
HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,1462043239,model_terminated,False,0,100,49,809112,12673,821785,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2.traj.json,
HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0,swesmith/HIPS__autograd.ac044f0d,shard-2,0,0.0,0,44976331,model_terminated,False,0,102,50,810924,12767,823691,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0.traj.json,
HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1698861744,model_terminated,False,0,136,67,1161778,17985,1179763,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2.traj.json,
HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,1290604142,model_terminated,False,0,126,62,972604,14575,987179,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe.traj.json,
aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura,swesmith/aio-libs__async-timeout.d0baa9f1,shard-6,0,0.0,0,1856995445,completed,True,11684,34,16,85118,2267,87385,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/report.json
cknd__stackprinter.219fcc52.combine_file__7moimff0,swesmith/cknd__stackprinter.219fcc52,shard-6,0,0.0,0,2049211399,completed,True,27250,48,23,164410,3174,167584,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.combine_file__7moimff0/report.json
cknd__stackprinter.219fcc52.combine_file__f7lheywo,swesmith/cknd__stackprinter.219fcc52,shard-4,0,0.0,0,330030716,completed,True,31331,36,17,97542,3782,101324,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__f7lheywo/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__f7lheywo/cknd__stackprinter.219fcc52.combine_file__f7lheywo/cknd__stackprinter.219fcc52.combine_file__f7lheywo.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.combine_file__f7lheywo/report.json
cknd__stackprinter.219fcc52.func_basic__c0rb6ipt,swesmith/cknd__stackprinter.219fcc52,shard-4,0,0.0,0,630417637,completed,True,41119,104,51,574437,9373,583810,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/report.json
cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j,swesmith/cknd__stackprinter.219fcc52,shard-7,0,0.0,0,1891433681,completed,True,25787,30,14,65419,1548,66967,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/report.json
cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m,swesmith/cknd__stackprinter.219fcc52,shard-2,0,0.0,0,119289173,completed,True,30736,40,19,144386,4171,148557,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-2/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-2/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/report.json
dask__dask.5f61e423.combine_file__i5ajjdw1,swesmith/dask__dask.5f61e423,shard-3,0,0.0,0,271248583,completed,True,15948,48,23,209299,4901,214200,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__i5ajjdw1/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__i5ajjdw1/dask__dask.5f61e423.combine_file__i5ajjdw1/dask__dask.5f61e423.combine_file__i5ajjdw1.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.combine_file__i5ajjdw1/report.json
dask__dask.5f61e423.combine_file__pwm4mha7,swesmith/dask__dask.5f61e423,shard-7,0,0.0,0,1885852882,completed,True,15776,68,33,353746,5316,359062,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__pwm4mha7/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__pwm4mha7/dask__dask.5f61e423.combine_file__pwm4mha7/dask__dask.5f61e423.combine_file__pwm4mha7.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.combine_file__pwm4mha7/report.json
dask__dask.5f61e423.func_pm_op_swap__cpft68pb,swesmith/dask__dask.5f61e423,shard-4,0,0.0,0,2068528539,completed,True,11662,46,22,112100,3148,115248,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-4/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-4/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/dask__dask.5f61e423.func_pm_op_swap__cpft68pb.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/report.json
dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu,swesmith/dask__dask.5f61e423,shard-0,0,0.0,0,166370733,completed,True,8886,42,20,101794,3001,104795,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-0/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-0/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/report.json
dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux,swesmith/dask__dask.5f61e423,shard-1,0,0.0,0,1515082044,completed,True,9786,24,11,37534,1617,39151,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-1/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-1/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/report.json
dask__dask.5f61e423.lm_rewrite__byt48qkt,swesmith/dask__dask.5f61e423,shard-6,0,0.0,0,40255285,completed,True,23751,72,35,437636,6864,444500,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/dask__dask.5f61e423.lm_rewrite__byt48qkt/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/dask__dask.5f61e423.lm_rewrite__byt48qkt/dask__dask.5f61e423.lm_rewrite__byt48qkt/dask__dask.5f61e423.lm_rewrite__byt48qkt.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.lm_rewrite__byt48qkt/report.json
dask__dask.5f61e423.lm_rewrite__mkfjcfha,swesmith/dask__dask.5f61e423,shard-7,0,0.0,0,1051955977,completed,True,21867,98,48,687562,9137,696699,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/dask__dask.5f61e423.lm_rewrite__mkfjcfha/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-7/samples/sample-0/trajectories/dask__dask.5f61e423.lm_rewrite__mkfjcfha/dask__dask.5f61e423.lm_rewrite__mkfjcfha/dask__dask.5f61e423.lm_rewrite__mkfjcfha.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.lm_rewrite__mkfjcfha/report.json
dask__dask.5f61e423.lm_rewrite__ubn1ccjs,swesmith/dask__dask.5f61e423,shard-2,0,0.0,0,11456980,completed,True,15136,40,19,133294,3668,136962,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-2/samples/sample-0/trajectories/dask__dask.5f61e423.lm_rewrite__ubn1ccjs/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-2/samples/sample-0/trajectories/dask__dask.5f61e423.lm_rewrite__ubn1ccjs/dask__dask.5f61e423.lm_rewrite__ubn1ccjs/dask__dask.5f61e423.lm_rewrite__ubn1ccjs.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.lm_rewrite__ubn1ccjs/report.json
dask__dask.5f61e423.pr_10280,swesmith/dask__dask.5f61e423,shard-0,0,0.0,0,1174457906,model_terminated,False,0,148,73,1325566,9518,1335084,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-0/samples/sample-0/trajectories/dask__dask.5f61e423.pr_10280/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-0/samples/sample-0/trajectories/dask__dask.5f61e423.pr_10280/dask__dask.5f61e423.pr_10280/dask__dask.5f61e423.pr_10280.traj.json,
dask__dask.5f61e423.pr_10364,swesmith/dask__dask.5f61e423,shard-3,0,0.0,0,878588249,completed,True,16071,124,61,899925,6789,906714,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.pr_10364/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.pr_10364/dask__dask.5f61e423.pr_10364/dask__dask.5f61e423.pr_10364.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.pr_10364/report.json
dask__dask.5f61e423.pr_11233,swesmith/dask__dask.5f61e423,shard-3,0,0.0,0,1325789508,model_terminated,False,0,164,81,1512793,9162,1521955,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.pr_11233/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.pr_11233/dask__dask.5f61e423.pr_11233/dask__dask.5f61e423.pr_11233.traj.json,
dask__dask.5f61e423.pr_11367,swesmith/dask__dask.5f61e423,shard-6,0,0.0,0,85362256,model_terminated,False,0,172,85,1667948,12060,1680008,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/dask__dask.5f61e423.pr_11367/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/dask__dask.5f61e423.pr_11367/dask__dask.5f61e423.pr_11367/dask__dask.5f61e423.pr_11367.traj.json,
dask__dask.5f61e423.pr_9573,swesmith/dask__dask.5f61e423,shard-5,0,0.0,0,1365285358,completed,True,8518,34,16,76436,1490,77926,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-5/samples/sample-0/trajectories/dask__dask.5f61e423.pr_9573/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-5/samples/sample-0/trajectories/dask__dask.5f61e423.pr_9573/dask__dask.5f61e423.pr_9573/dask__dask.5f61e423.pr_9573.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/dask__dask.5f61e423.pr_9573/report.json
django-money__django-money.835c1ab8.combine_module__5y2t3cad,swesmith/django-money__django-money.835c1ab8,shard-6,0,0.0,0,713434514,completed,True,24095,66,32,273057,6003,279060,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/django-money__django-money.835c1ab8.combine_module__5y2t3cad/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/collection/shard-6/samples/sample-0/trajectories/django-money__django-money.835c1ab8.combine_module__5y2t3cad/django-money__django-money.835c1ab8.combine_module__5y2t3cad/django-money__django-money.835c1ab8.combine_module__5y2t3cad.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-validation-200/evaluation/sample-0/logs/django-money__django-money.835c1ab8.combine_module__5y2t3cad/report.json
