instance_id,repo,shard,rollout_status,rollout_returncode,mini_swe_exit_status,agent_exit_status,patch_present,patch_chars,patch_files,patch_added_lines,patch_deleted_lines,patch_source,discarded_error_patch_chars,trajectory_steps,trajectory_messages,agent_action_steps,model_api_calls,prompt_tokens_total,completion_tokens_total,total_tokens,max_prompt_tokens,final_prompt_tokens,finish_reason_stop,finish_reason_length,finish_reason_other,step_limit,step_limit_utilization,context_limit,context_limit_utilization,commands_executed,commands_succeeded,commands_failed,commands_unknown_returncode,repeated_commands,test_command_steps,edit_command_steps,format_errors,command_timeouts,truncated_observations,submission_step,duration_seconds,seconds_per_action,duration_source,duration_is_estimate,evaluation_status,resolved,evaluation_returncode,fail_to_pass_success,fail_to_pass_failure,pass_to_pass_success,pass_to_pass_failure,failure_stage,failure_category,failure_reason,failure_evidence,needs_llm_review,trajectory_path,evaluation_report_path
astropy__astropy-12907,astropy/astropy,shard-0,model_terminated,0,ContextWindowExceededError,ContextWindowExceededError,False,0,0,0,0,,,113,226,112,112,3937855,24509,3962364,64942,64942,111,1,0,200,0.56,65536,0.990936,111,92,19,0,24,3,35,1,0,2,,908.023,8.107348,mini_swe_start_to_trajectory,True,empty_patch,False,,,,,,rollout,context_limit,mini-swe-agent exit status: ContextWindowExceededError,":""This model's maximum context length is 65536 tokens. However, your request has 65642 input tokens. Please reduce the length of the input messages. None"",""type"":""BadRequestError"",""param"":null,""code"":400}} | 2026-08-15 13:24:10,575 - minisweagent - INFO - Saved trajectory to '/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/astropy__astropy-12907/astropy__astropy-12907/astropy__astropy-12907.traj.json'",False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/astropy__astropy-12907/trajectory.json,
astropy__astropy-14182,astropy/astropy,shard-0,completed,0,,Submitted,True,22197,16,566,8,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/astropy__astropy-14182/preds.json,,91,182,90,90,2121336,18661,2139997,41999,41999,90,0,0,200,0.45,65536,0.640854,90,79,10,1,15,0,36,0,0,0,90,660.099,7.334433,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,9,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,"which already exists!  Assuming -R. | patching file test_rst_with_header_rows.py | The next patch would create the file test_table_write.py, | which already exists!  Assuming -R. | patching file test_table_write.py | >>>>> Applied Patch",True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/astropy__astropy-14182/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/astropy__astropy-14182/report.json
astropy__astropy-7166,astropy/astropy,shard-0,completed,0,,Submitted,True,25098,10,631,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/astropy__astropy-7166/preds.json,,38,76,37,37,403455,8275,411730,19186,19186,37,0,0,200,0.185,65536,0.292755,37,31,5,1,4,2,12,0,0,1,37,301.326,8.143946,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,6,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/astropy__astropy-7166/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/astropy__astropy-7166/report.json
django__django-10880,django/django,shard-0,completed,0,,Submitted,True,43915,14,1298,0,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-10880/preds.json,,69,138,68,68,1098442,13034,1111476,29770,29770,68,0,0,200,0.34,65536,0.454254,68,54,13,1,5,1,22,0,0,0,68,477.358,7.019971,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,55,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-10880/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/django__django-10880/report.json
django__django-11119,django/django,shard-0,completed,0,,Submitted,True,7495,2,171,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11119/preds.json,,37,74,36,36,342445,6567,349012,14904,14904,36,0,0,200,0.18,65536,0.227417,36,28,7,1,5,0,15,0,0,0,36,253.939,7.053861,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,7,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11119/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/django__django-11119/report.json
django__django-11211,django/django,shard-0,completed,0,,Submitted,True,20135,7,540,2,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11211/preds.json,,56,112,55,55,848197,9319,857516,26172,26172,55,0,0,200,0.275,65536,0.399353,55,39,15,1,5,0,16,0,0,0,55,347.837,6.324309,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,76,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch reproduce_issue.py cleanly. | Applied patch simple_test.py cleanly. | Applied patch test_fix.py cleanly. | warning: squelched 28 whitespace errors | warning: 33 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11211/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/django__django-11211/report.json
django__django-11433,django/django,shard-0,completed,0,,Submitted,True,30735,10,859,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11433/preds.json,,54,108,53,53,759815,12829,772644,25161,25161,53,0,0,200,0.265,65536,0.383926,53,43,9,1,10,2,18,0,0,1,53,444.925,8.394811,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,142,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_pr_issue.py cleanly. | Applied patch test_pr_issue_fixed.py cleanly. | Applied patch test_validation_error.py cleanly. | warning: squelched 49 whitespace errors | warning: 54 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11433/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/django__django-11433/report.json
django__django-11728,django/django,shard-0,completed,0,,Submitted,True,68851,16,1567,72,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11728/preds.json,,53,106,52,52,991287,18554,1009841,31696,31696,52,0,0,200,0.26,65536,0.483643,52,36,15,1,4,0,21,0,0,1,52,629.486,12.1055,mini_swe_start_to_trajectory,True,unresolved,False,0,0,2,0,44,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_fix_v4.py cleanly. | Applied patch test_fix_v5.py cleanly. | Applied patch test_simple.py cleanly. | warning: squelched 55 whitespace errors | warning: 60 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11728/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/django__django-11728/report.json
django__django-11880,django/django,shard-0,completed,0,,Submitted,True,22579,8,525,0,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11880/preds.json,,38,76,37,37,406482,9496,415978,19069,19069,37,0,0,200,0.185,65536,0.29097,37,27,9,1,9,0,14,0,0,0,37,333.501,9.013541,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,114,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-11880/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/django__django-11880/report.json
django__django-12143,django/django,shard-0,completed,0,,Submitted,True,41822,11,1014,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-12143/preds.json,,42,84,41,41,539158,13566,552724,23997,23997,41,0,0,200,0.205,65536,0.366165,41,34,6,1,6,0,14,0,0,0,41,486.446,11.864537,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,52,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/rollouts/shard-0/trajectories/django__django-12143/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo__g07-paper-informed__model/django__django-12143/report.json
