instance_id,repo,shard,sample_index,temperature,temperature_run_index,seed,collection_status,patch_present,patch_chars,trajectory_messages,model_api_calls,prompt_tokens,completion_tokens,total_tokens,evaluation_status,resolved,trajectory_path,raw_trajectory_path,evaluation_report_path
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo,swesmith/HIPS__autograd.ac044f0d,shard-6,0,0.0,0,1776267612,model_terminated,False,0,24,11,62400,613,63013,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo.traj.json,
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,555909346,model_terminated,False,0,74,36,646478,3736,650214,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc.traj.json,
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,388099080,completed,True,8532,56,27,221886,5551,227437,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh,swesmith/HIPS__autograd.ac044f0d,shard-0,0,0.0,0,1617240292,completed,True,14461,52,25,149688,4244,153932,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/report.json
HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,1462043239,completed,True,21168,74,36,433574,7383,440957,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/report.json
HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0,swesmith/HIPS__autograd.ac044f0d,shard-2,0,0.0,0,44976331,model_terminated,False,0,94,46,771274,17065,788339,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0.traj.json,
HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1698861744,completed,True,28496,94,46,579368,12341,591709,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/report.json
HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,1290604142,completed,True,34918,128,63,939722,14231,953953,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/report.json
aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura,swesmith/aio-libs__async-timeout.d0baa9f1,shard-6,0,0.0,0,1856995445,completed,True,15903,36,17,97391,3129,100520,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/evaluation/sample-0/logs/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/report.json
cknd__stackprinter.219fcc52.combine_file__7moimff0,swesmith/cknd__stackprinter.219fcc52,shard-6,0,0.0,0,2049211399,completed,True,27971,44,21,137112,3335,140447,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-completion-balanced/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.combine_file__7moimff0/report.json
