instance_id,repo,shard,sample_index,temperature,temperature_run_index,seed,collection_status,patch_present,patch_chars,trajectory_messages,model_api_calls,prompt_tokens,completion_tokens,total_tokens,evaluation_status,resolved,trajectory_path,raw_trajectory_path,evaluation_report_path
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo,swesmith/HIPS__autograd.ac044f0d,shard-6,0,0.0,0,1776267612,completed,True,7508,48,23,205481,3043,208524,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,555909346,completed,True,7947,72,35,281325,4719,286044,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,388099080,completed,True,11520,48,23,309643,2870,312513,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh,swesmith/HIPS__autograd.ac044f0d,shard-0,0,0.0,0,1617240292,completed,True,15376,54,26,189245,4419,193664,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/report.json
HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,1462043239,completed,True,27735,114,56,840497,11146,851643,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/report.json
HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0,swesmith/HIPS__autograd.ac044f0d,shard-2,0,0.0,0,44976331,model_terminated,False,0,90,44,683947,14272,698219,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0.traj.json,
HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1698861744,completed,True,28387,86,42,483316,12457,495773,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/report.json
HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,1290604142,completed,True,23506,98,48,593831,9188,603019,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/report.json
aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura,swesmith/aio-libs__async-timeout.d0baa9f1,shard-6,0,0.0,0,1856995445,completed,True,12402,30,14,71341,2152,73493,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/report.json
cknd__stackprinter.219fcc52.combine_file__7moimff0,swesmith/cknd__stackprinter.219fcc52,shard-6,0,0.0,0,2049211399,completed,True,35901,84,41,411288,6639,417927,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.combine_file__7moimff0/report.json
cknd__stackprinter.219fcc52.combine_file__f7lheywo,swesmith/cknd__stackprinter.219fcc52,shard-4,0,0.0,0,330030716,completed,True,29412,38,18,102871,3254,106125,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__f7lheywo/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__f7lheywo/cknd__stackprinter.219fcc52.combine_file__f7lheywo/cknd__stackprinter.219fcc52.combine_file__f7lheywo.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.combine_file__f7lheywo/report.json
cknd__stackprinter.219fcc52.func_basic__c0rb6ipt,swesmith/cknd__stackprinter.219fcc52,shard-4,0,0.0,0,630417637,completed,True,29191,68,33,285963,4628,290591,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-4/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.func_basic__c0rb6ipt/report.json
cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j,swesmith/cknd__stackprinter.219fcc52,shard-7,0,0.0,0,1891433681,completed,True,27624,36,17,88821,2106,90927,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-7/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-7/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.func_pm_op_change__tn7sfw3j/report.json
cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m,swesmith/cknd__stackprinter.219fcc52,shard-2,0,0.0,0,119289173,completed,True,30003,46,22,144463,4036,148499,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-2/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-2/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.func_pm_remove_assign__4haje54m/report.json
dask__dask.5f61e423.combine_file__i5ajjdw1,swesmith/dask__dask.5f61e423,shard-3,0,0.0,0,271248583,completed,True,18052,60,29,305893,5669,311562,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__i5ajjdw1/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-3/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__i5ajjdw1/dask__dask.5f61e423.combine_file__i5ajjdw1/dask__dask.5f61e423.combine_file__i5ajjdw1.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/dask__dask.5f61e423.combine_file__i5ajjdw1/report.json
dask__dask.5f61e423.combine_file__pwm4mha7,swesmith/dask__dask.5f61e423,shard-7,0,0.0,0,1885852882,model_terminated,False,0,162,80,1310847,12127,1322974,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-7/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__pwm4mha7/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-7/samples/sample-0/trajectories/dask__dask.5f61e423.combine_file__pwm4mha7/dask__dask.5f61e423.combine_file__pwm4mha7/dask__dask.5f61e423.combine_file__pwm4mha7.traj.json,
dask__dask.5f61e423.func_pm_op_swap__cpft68pb,swesmith/dask__dask.5f61e423,shard-4,0,0.0,0,2068528539,completed,True,38070,90,44,652225,9778,662003,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-4/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-4/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/dask__dask.5f61e423.func_pm_op_swap__cpft68pb.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/dask__dask.5f61e423.func_pm_op_swap__cpft68pb/report.json
dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu,swesmith/dask__dask.5f61e423,shard-0,0,0.0,0,166370733,completed,True,12073,40,19,93304,2946,96250,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-0/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-0/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/dask__dask.5f61e423.func_pm_remove_cond__3omkgmqu/report.json
dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux,swesmith/dask__dask.5f61e423,shard-1,0,0.0,0,1515082044,completed,True,11664,42,20,109261,3814,113075,resolved,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-1/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/collection/shard-1/samples/sample-0/trajectories/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/validation-200-depo-total-balanced/evaluation/sample-0/logs/dask__dask.5f61e423.func_pm_remove_cond__6ny4qzux/report.json
