instance_id,repo,shard,rollout_status,rollout_returncode,mini_swe_exit_status,agent_exit_status,patch_present,patch_chars,patch_files,patch_added_lines,patch_deleted_lines,patch_source,discarded_error_patch_chars,trajectory_steps,trajectory_messages,agent_action_steps,model_api_calls,prompt_tokens_total,completion_tokens_total,total_tokens,max_prompt_tokens,final_prompt_tokens,finish_reason_stop,finish_reason_length,finish_reason_other,step_limit,step_limit_utilization,context_limit,context_limit_utilization,commands_executed,commands_succeeded,commands_failed,commands_unknown_returncode,repeated_commands,test_command_steps,edit_command_steps,format_errors,command_timeouts,truncated_observations,submission_step,duration_seconds,seconds_per_action,duration_source,duration_is_estimate,evaluation_status,resolved,evaluation_returncode,fail_to_pass_success,fail_to_pass_failure,pass_to_pass_success,pass_to_pass_failure,failure_stage,failure_category,failure_reason,failure_evidence,needs_llm_review,trajectory_path,evaluation_report_path
astropy__astropy-12907,astropy/astropy,shard-0,completed,0,,Submitted,True,34406,16,744,16,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/astropy__astropy-12907/preds.json,,67,134,66,66,1371873,16814,1388687,40155,40155,66,0,0,200,0.33,65536,0.612717,66,59,6,1,10,3,22,0,0,0,66,582.237,8.821773,mini_swe_start_to_trajectory,True,unresolved,False,0,0,2,13,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,"which already exists!  Assuming -R. | patching file understand_expected.py | The next patch would create the file verify_match.py, | which already exists!  Assuming -R. | patching file verify_match.py | >>>>> Applied Patch",True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/astropy__astropy-12907/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/astropy__astropy-12907/report.json
astropy__astropy-14182,astropy/astropy,shard-0,model_terminated,0,ContextWindowExceededError,ContextWindowExceededError,False,0,0,0,0,,,143,286,142,142,5081304,26417,5107721,65391,65391,141,1,0,200,0.71,65536,0.997787,141,121,20,0,26,0,62,1,0,0,,986.293,6.945725,mini_swe_start_to_trajectory,True,empty_patch,False,,,,,,rollout,context_limit,mini-swe-agent exit status: ContextWindowExceededError,"um context length is 65536 tokens. However, your request has 65642 input tokens. Please reduce the length of the input messages. None"",""type"":""BadRequestError"",""param"":null,""code"":400}} | 2026-08-15 16:08:11,213 - minisweagent - INFO - Saved trajectory to '/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/astropy__astropy-14182/astropy__astropy-14182/astropy__astropy-14182.traj.json'",False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/astropy__astropy-14182/trajectory.json,
astropy__astropy-7166,astropy/astropy,shard-0,completed,0,,Submitted,True,30458,15,752,2,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/astropy__astropy-7166/preds.json,,41,82,40,40,431374,7639,439013,17389,17389,40,0,0,200,0.2,65536,0.265335,40,35,4,1,0,1,14,0,0,1,40,262.27,6.55675,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,6,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_pr_fix_ascii.py cleanly. | Applied patch test_pr_fix_clean.py cleanly. | Applied patch test_setter_inheritance.py cleanly. | warning: squelched 22 whitespace errors | warning: 27 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/astropy__astropy-7166/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/astropy__astropy-7166/report.json
django__django-10880,django/django,shard-0,model_terminated,0,LimitsExceeded,LimitsExceeded,False,0,0,0,0,,,202,403,200,200,5402546,23521,5426067,51295,51295,200,0,0,200,1.0,65536,0.7827,200,188,12,0,146,0,148,0,0,0,,893.243,4.466215,mini_swe_start_to_trajectory,True,empty_patch,False,,,,,,rollout,step_limit,mini-swe-agent exit status: LimitsExceeded,"ebug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-10880/miniswe_config.generated.yaml' | 2026-08-15 16:06:42,495 - minisweagent - INFO - Saved trajectory to '/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-10880/django__django-10880/django__django-10880.traj.json'",False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-10880/trajectory.json,
django__django-11119,django/django,shard-0,completed,0,,Submitted,True,16484,9,357,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11119/preds.json,,41,82,40,40,438297,9035,447332,18163,18163,40,0,0,200,0.2,65536,0.277145,40,26,13,1,8,0,15,0,0,0,40,296.452,7.4113,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,7,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11119/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/django__django-11119/report.json
django__django-11211,django/django,shard-0,completed,0,,Submitted,True,57192,22,1578,2,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11211/preds.json,,94,188,93,93,2228512,16281,2244793,44704,44704,93,0,0,200,0.465,65536,0.682129,93,61,31,1,1,1,26,0,0,0,93,595.719,6.405581,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,76,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11211/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/django__django-11211/report.json
django__django-11433,django/django,shard-0,completed,0,,Submitted,True,29584,10,749,0,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11433/preds.json,,59,118,58,58,986784,13565,1000349,29559,29559,58,0,0,200,0.29,65536,0.451035,58,46,11,1,11,1,19,0,0,0,58,450.428,7.766,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,141,1,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_issue.py cleanly. | Applied patch test_overwrite.py cleanly. | Applied patch test_pr_issue_fixed.py cleanly. | warning: squelched 34 whitespace errors | warning: 39 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11433/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/django__django-11433/report.json
django__django-11728,django/django,shard-0,completed,0,,Submitted,True,40258,12,903,18,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11728/preds.json,,31,62,30,30,392622,11885,404507,23322,23322,30,0,0,200,0.15,65536,0.355865,30,26,3,1,1,0,14,0,0,1,30,378.265,12.608833,mini_swe_start_to_trajectory,True,unresolved,False,0,1,1,43,1,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_fix2.py cleanly. | Applied patch test_fix3.py cleanly. | Applied patch verify_fix.py cleanly. | warning: squelched 56 whitespace errors | warning: 61 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11728/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/django__django-11728/report.json
django__django-11880,django/django,shard-0,completed,0,,Submitted,True,18649,6,459,0,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11880/preds.json,,36,72,35,35,304123,5635,309758,15649,15649,35,0,0,200,0.175,65536,0.238785,35,29,5,1,1,1,7,0,0,0,35,231.058,6.601657,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,114,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-11880/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/django__django-11880/report.json
django__django-12143,django/django,shard-0,completed,0,,Submitted,True,13858,5,321,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-12143/preds.json,,29,58,28,28,179743,5138,184881,11175,11175,28,0,0,200,0.14,65536,0.170517,28,20,7,1,7,0,9,0,0,0,28,204.914,7.318357,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,52,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/rollouts/shard-0/trajectories/django__django-12143/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-depo-total-balanced-test-500/evaluation/logs/swesmith_train_1000_r2_dmpo_g07_paper_informed_depo_total_balanced_test_500/__lambda__nfs__Debug-Depo__debug-depo-persistent__scratch__runs__swesmith-train-1000-r2__experiments__dmpo-depo__g07-paper-informed__depo__total-balanced__model/django__django-12143/report.json
