instance_id,repo,shard,rollout_status,rollout_returncode,mini_swe_exit_status,agent_exit_status,patch_present,patch_chars,patch_files,patch_added_lines,patch_deleted_lines,patch_source,discarded_error_patch_chars,trajectory_steps,trajectory_messages,agent_action_steps,model_api_calls,prompt_tokens_total,completion_tokens_total,total_tokens,max_prompt_tokens,final_prompt_tokens,finish_reason_stop,finish_reason_length,finish_reason_other,step_limit,step_limit_utilization,context_limit,context_limit_utilization,commands_executed,commands_succeeded,commands_failed,commands_unknown_returncode,repeated_commands,test_command_steps,edit_command_steps,format_errors,command_timeouts,truncated_observations,submission_step,duration_seconds,seconds_per_action,duration_source,duration_is_estimate,evaluation_status,resolved,evaluation_returncode,fail_to_pass_success,fail_to_pass_failure,pass_to_pass_success,pass_to_pass_failure,failure_stage,failure_category,failure_reason,failure_evidence,needs_llm_review,trajectory_path,evaluation_report_path
astropy__astropy-12907,astropy/astropy,shard-0,completed,0,,Submitted,True,16510,7,369,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/astropy__astropy-12907/preds.json,,31,62,30,30,372275,5559,377834,22097,22097,30,0,0,200,0.15,65536,0.337173,30,23,6,1,2,4,5,0,0,1,30,218.223,7.2741,mini_swe_start_to_trajectory,True,unresolved,False,0,0,2,13,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,"which already exists!  Assuming -R. | patching file reproduce_issue.py | The next patch would create the file test_fix.py, | which already exists!  Assuming -R. | patching file test_fix.py | >>>>> Applied Patch",True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/astropy__astropy-12907/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/astropy__astropy-12907/report.json
astropy__astropy-14182,astropy/astropy,shard-0,completed,0,,Submitted,True,67209,37,1566,5,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/astropy__astropy-14182/preds.json,,183,366,182,182,6333246,35274,6368520,62745,62745,182,0,0,200,0.91,65536,0.957413,182,146,35,1,40,0,69,0,0,0,182,1349.487,7.414764,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,9,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,"which already exists!  Assuming -R. | patching file test_rst_with_metadata.py | The next patch would create the file test_with_units.py, | which already exists!  Assuming -R. | patching file test_with_units.py | >>>>> Applied Patch",True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/astropy__astropy-14182/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/astropy__astropy-14182/report.json
astropy__astropy-7166,astropy/astropy,shard-0,completed,0,,Submitted,True,39758,19,1009,2,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/astropy__astropy-7166/preds.json,,54,108,53,53,698501,11606,710107,23150,23150,53,0,0,200,0.265,65536,0.353241,53,45,7,1,2,3,20,0,0,1,53,404.753,7.636849,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,6,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/astropy__astropy-7166/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/astropy__astropy-7166/report.json
django__django-10880,django/django,shard-0,model_terminated,0,LimitsExceeded,LimitsExceeded,False,0,0,0,0,,,202,403,200,200,6344294,22338,6366632,55630,55630,200,0,0,200,1.0,65536,0.848846,200,193,7,0,166,0,169,0,0,1,,875.184,4.37592,mini_swe_start_to_trajectory,True,empty_patch,False,,,,,,rollout,step_limit,mini-swe-agent exit status: LimitsExceeded,",935 - minisweagent - INFO - Loading agent config from '/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-10880/miniswe_config.generated.yaml' | 2026-08-15 11:50:16,708 - minisweagent - INFO - Saved trajectory to '/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-10880/django__django-10880/django__django-10880.traj.json'",False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-10880/trajectory.json,
django__django-11119,django/django,shard-0,completed,0,,Submitted,True,19053,12,470,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11119/preds.json,,45,90,44,44,444184,6636,450820,17755,17755,44,0,0,200,0.22,65536,0.27092,44,33,10,1,7,1,16,0,0,0,44,260.131,5.912068,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,7,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11119/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/django__django-11119/report.json
django__django-11211,django/django,shard-0,completed,0,,Submitted,True,24508,8,619,2,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11211/preds.json,,62,124,61,61,1043654,12718,1056372,31342,31342,61,0,0,200,0.305,65536,0.478241,61,48,12,1,7,1,14,0,0,0,61,437.734,7.175967,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,70,6,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_uuid_field.py cleanly. | Applied patch test_uuid_gfk_issue.py cleanly. | Applied patch verify_fix.py cleanly. | warning: squelched 48 whitespace errors | warning: 53 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11211/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/django__django-11211/report.json
django__django-11433,django/django,shard-0,completed,0,,Submitted,True,40517,23,1118,0,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11433/preds.json,,73,146,72,72,1181470,15566,1197036,30121,30121,72,0,0,200,0.36,65536,0.45961,72,66,5,1,3,0,25,0,0,1,72,552.75,7.677083,mini_swe_start_to_trajectory,True,unresolved,False,0,0,1,142,0,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_issue7.py cleanly. | Applied patch test_issue8.py cleanly. | Applied patch test_issue9.py cleanly. | warning: squelched 48 whitespace errors | warning: 53 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11433/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/django__django-11433/report.json
django__django-11728,django/django,shard-0,completed,0,,Submitted,True,66512,21,1547,3,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11728/preds.json,,75,150,74,74,1920301,24988,1945289,50254,50254,74,0,0,200,0.37,65536,0.766815,74,67,6,1,7,1,29,0,0,2,74,881.04,11.905946,mini_swe_start_to_trajectory,True,unresolved,False,0,1,1,43,1,evaluation,tests_failed,Patch evaluated but did not resolve the task,Applied patch test_trailing_issue.py cleanly. | Applied patch test_trailing_slash.py cleanly. | Applied patch understand_original.py cleanly. | warning: squelched 70 whitespace errors | warning: 75 lines add whitespace errors. | >>>>> Applied Patch,True,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11728/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/django__django-11728/report.json
django__django-11880,django/django,shard-0,completed,0,,Submitted,True,7432,2,171,0,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11880/preds.json,,21,42,20,20,129807,3480,133287,9521,9521,20,0,0,200,0.1,65536,0.145279,20,17,2,1,2,0,7,0,0,1,20,132.436,6.6218,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,114,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-11880/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/django__django-11880/report.json
django__django-12143,django/django,shard-0,completed,0,,Submitted,True,16008,6,361,1,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-12143/preds.json,,25,50,24,24,173138,4476,177614,11836,11836,24,0,0,200,0.12,65536,0.180603,24,19,4,1,2,0,6,0,0,0,24,168.248,7.010333,mini_swe_start_to_trajectory,True,resolved,True,0,1,0,52,0,,,,,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/rollouts/shard-0/trajectories/django__django-12143/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-sft-test-500/evaluation/logs/swesmith_train_1000_r2_sft_test_500/Kwai-Klear__Klear-AgentForge-8B-SFT/django__django-12143/report.json
