instance_id,repo,shard,sample_index,temperature,temperature_run_index,seed,collection_status,patch_present,patch_chars,trajectory_messages,model_api_calls,prompt_tokens,completion_tokens,total_tokens,evaluation_status,resolved,trajectory_path,raw_trajectory_path,evaluation_report_path
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z,swesmith/HIPS__autograd.ac044f0d,shard-4,0,0.0,0,2020623734,completed,True,7689,54,26,345385,2979,348364,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__7dm8sr0z/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw,swesmith/HIPS__autograd.ac044f0d,shard-6,0,0.0,0,965840817,completed,True,21441,56,27,438268,9596,447864,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__blx0i6hw/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453,swesmith/HIPS__autograd.ac044f0d,shard-4,0,0.0,0,1692773266,completed,True,17703,128,63,1234308,12935,1247243,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-4/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__gqtnq453/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1919280333,completed,True,21078,192,95,2587799,17226,2605025,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__n1dqdnf2/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1281245258,completed,True,24721,124,61,1488594,15450,1504044,patch_failed,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__xv557qvi.traj.json,
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,1323799893,completed,True,7680,26,12,47031,1669,48700,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__1xlw9z5m/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,533663924,completed,True,7895,34,16,135963,2184,138147,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__49qkh63a/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,702311424,completed,True,19375,150,74,1863793,18313,1882106,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__5inq9y15/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,1433930321,completed,True,20844,88,43,564231,6249,570480,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__c829o54c/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,368576893,completed,True,12467,44,21,151640,3159,154799,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g07-paper-informed-confirmation-500/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__e52qm8yw/report.json
